Image, a, b, c, d, e, f, g, h, i, j, k, l
000001.png,13.9963375,57.153775,15.7269625,44.0321125,41.7603375,44.0321125,50.8131,57.153775,49.082475,70.2754375,23.0491125,70.2754375
000010.png,31.9760125,30.8326,37.76525,16.717825,66.3462375,16.717825,72.39565,30.8326,66.6064125,44.9473625,38.0254375,44.947375
000100.png,27.6253625,32.3854875,33.7517,17.8936625,62.94465,17.8936625,68.91045,32.3854875,62.784125,46.877325,33.591175,46.877325
001000.png,17.6406625,47.942075,21.81505,34.34015,48.1746375,34.34015,54.91875,47.942075,50.744375,61.5439875,24.3848,61.544
010000.png,30.860475,53.0019125,37.46345,39.034875,67.6702,39.034875,73.5792875,53.0019125,66.9763375,66.968925,36.769575,66.9689375
010001.png,14.2483125,38.4270875,19.57335,23.8587875,45.970575,23.8587875,51.57965,38.4270875,46.254625,52.995375,19.8574,52.995375
010002.png,22.076475,26.416075,28.69035,12.677025,56.62855,12.677025,61.5870625,26.416075,54.9731875,40.155125,27.0349875,40.155125
010003.png,14.2199,43.6940125,18.5047125,29.66365,43.9042375,29.66365,50.1402625,43.6940125,45.8554625,57.7243625,20.4559375,57.7243625
010004.png,32.269225,20.9979875,37.7572875,8.138975,65.895925,8.138975,72.063275,20.9979875,66.5752125,33.857,38.4365875,33.857
010005.png,21.6935125,18.170475,29.3597375,4.803175,59.1833875,4.803175,63.870525,18.170475,56.2043,31.537775,26.380675,31.537775
010006.png,34.923775,51.0857625,41.7532875,37.1073,71.1125375,37.1073,76.4440375,51.0857625,69.614525,65.0642125,40.255275,65.0642125
010007.png,23.0558375,38.345325,28.8804875,23.9511375,57.2531375,23.9511375,63.1808375,38.345325,57.3562,52.7395,28.98355,52.7395
010008.png,19.1125,48.0080375,24.3431625,33.02305,54.42435,33.02305,61.6537125,48.0080375,56.4230375,62.993025,26.341875,62.993025
010009.png,27.856525,18.173525,34.13365,5.6999375,62.510675,5.6999375,67.9877125,18.173525,61.7106125,30.647125,33.3335875,30.647125
001001.png,30.5292375,44.2331125,37.0962125,28.947975,68.0453625,28.947975,74.297975,44.2331125,67.7310125,59.51825,36.7818625,59.51825
010010.png,15.57025,24.6317375,23.086225,10.58155,50.29405,10.5815625,54.047925,24.6317375,46.53195,38.6819,19.3241375,38.6819125
010011.png,48.32955,44.5355125,54.7326125,30.500525,80.6179875,30.500525,84.9370125,44.5355125,78.5339625,58.5704875,52.6485875,58.5705
010012.png,25.0761625,27.2548,31.3585375,13.562075,59.4334625,13.562075,64.7800875,27.2548,58.4977125,40.9475125,30.4228125,40.9475125
010013.png,49.5390625,25.0098625,52.7959,10.9483875,78.9096375,10.9483875,86.4694875,25.0098625,83.2126625,39.0713375,57.098925,39.0713375
010014.png,28.6863,53.0882625,34.3497625,40.03965,62.630275,40.03965,68.6810125,53.0882625,63.0175625,66.136875,34.73705,66.1368875
010015.png,19.8518,43.66985,25.19925,29.103675,53.7426375,29.103675,60.21825,43.66985,54.8708125,58.2360125,26.327425,58.236025
010016.png,28.0659,57.046225,33.9639375,44.1317,63.482375,44.1317,69.8112875,57.046225,63.91325,69.9607375,34.3948125,69.96075
010017.png,51.0509,39.351775,56.7332625,24.623025,82.6,24.623025,87.6319875,39.351775,81.9496375,54.0805375,56.0829,54.0805375
010018.png,30.516775,19.4687375,36.4122375,6.005525,66.4807875,6.005525,73.04015,19.4687375,67.1447125,32.9319625,37.07615,32.9319625
010019.png,35.212475,20.9321125,40.2127125,8.1022125,68.1043,8.1022125,74.65715,20.9321125,69.656925,33.762,41.7653375,33.7620125
001002.png,43.6460375,29.6625625,48.502425,14.8324,76.867325,14.8324,83.76005,29.6625625,78.903675,44.4927125,50.5387875,44.4927125
